LGA,unemployed
Alpine,356
Ararat,764
Ballarat,8124
Banyule,6057
Bass Coast,1883
Baw Baw,1728
Bayside,3137
Benalla,884
Boroondara,5440
Brimbank,12012
Buloke,249
Campaspe,2176
Cardinia,3273
Casey,10835
Central Goldfields,740
Colac-Otway,1080
Corangamite,548
Darebin,8864
East Gippsland,2583
Frankston,9805
Gannawarra,522
Glen Eira,4993
Glenelg,1161
Golden Plains,356
Greater Bendigo,5045
Greater Dandenong,10844
Greater Geelong,12001
Greater Shepparton,4659
Hepburn,548
Hindmarsh,170
Hobsons Bay,4778
Horsham,1342
Hume,10319
Indigo,405
Kingston,6821
Knox,6559
Latrobe,6065
Loddon,316
Macedon Ranges,1351
Manningham,2994
Mansfield,365
Maribyrnong,6395
Maroondah,5584
Melbourne,25983
Melton,5016
Mildura,4646
Mitchell,2097
Moira,1169
Monash,6828
Moonee Valley,5844
Moorabool,1110
Moreland,7992
Mornington Peninsula,7255
Mount Alexander,728
Moyne,458
Murrindindi,510
Nillumbik,1406
Northern Grampians,777
Port Phillip,8601
Justice Institutions And Immigration Facilities,672
Pyrenees,231
Queenscliffe,111
South Gippsland,998
Southern Grampians,716
Stonnington,7878
Strathbogie,316
Surf Coast,1120
Swan Hill,1723
Towong,189
Unincorporated Vic,159
Wangaratta,1675
Warrnambool,2051
Wellington,2385
West Wimmera,95
Whitehorse,5246
Whittlesea,7781
Wodonga,1910
Wyndham,8336
Yarra,9207
Yarra Ranges,5046
Yarriambiack,289
