LGA,crimes
Alpine,316
Ararat,816
Ballarat,7436
Banyule,6820
Bass Coast,2137
Baw Baw,2273
Bayside,3343
Benalla,872
Boroondara,5882
Brimbank,13699
Buloke,173
Campaspe,2152
Cardinia,3900
Casey,12675
Central Goldfields,802
Colac-Otway,1096
Corangamite,498
Darebin,11359
East Gippsland,2932
Frankston,10663
Gannawarra,438
Glen Eira,4475
Glenelg,1336
Golden Plains,423
Greater Bendigo,6254
Greater Dandenong,11931
Greater Geelong,14464
Greater Shepparton,5527
Hepburn,499
Hindmarsh,144
Hobsons Bay,5610
Horsham,1541
Hume,13304
Indigo,348
Kingston,7350
Knox,7411
Latrobe,7622
Loddon,232
Macedon Ranges,1488
Manningham,3242
Mansfield,367
Maribyrnong,6725
Maroondah,5925
Melbourne,23783
Melton,7423
Mildura,4653
Mitchell,2095
Moira,1155
Monash,6924
Moonee Valley,6411
Moorabool,1420
Moreland,10091
Mornington Peninsula,7871
Mount Alexander,681
Moyne,471
Murrindindi,531
Nillumbik,1580
Northern Grampians,670
Port Phillip,8886
Justice Institutions And Immigration Facilities,717
Pyrenees,370
Queenscliffe,85
South Gippsland,870
Southern Grampians,737
Stonnington,7192
Strathbogie,371
Surf Coast,967
Swan Hill,1605
Towong,187
Unincorporated Vic,97
Wangaratta,1711
Warrnambool,1870
Wellington,2997
West Wimmera,102
Whitehorse,5781
Whittlesea,10518
Wodonga,2431
Wyndham,10321
Yarra,10059
Yarra Ranges,5512
Yarriambiack,186
